"filename", "language", "JavaScript", "SCSS", "JavaScript React", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\.prettierrc", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\package-lock.json", "JSON", 0, 0, 0, 0, 0, 33067, 0, 0, 1, 33068
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\package.json", "JSON", 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 23, 2, 51
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 5, 27
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\assets\crown.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 1, 0, 17
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\assets\shopping-bag.svg", "XML", 0, 0, 0, 52, 0, 0, 0, 1, 1, 54
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\button\button.component.jsx", "JavaScript React", 0, 0, 23, 0, 0, 0, 0, 3, 5, 31
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\button\button.styles.jsx", "JavaScript React", 0, 0, 45, 0, 0, 0, 0, 41, 9, 95
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-dropdown\cart-dropdown.component.jsx", "JavaScript React", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-dropdown\cart-dropdown.styles.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-icon\cart-icon.component.jsx", "JavaScript React", 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-icon\cart-icon.styles.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-item\cart-item.component.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\cart-item\cart-item.styles.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\category-preview\category-preview.component.jsx", "JavaScript React", 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\category-preview\category-preview.styles.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\checkout-item\checkout-item.component.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\checkout-item\checkout-item.styles.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\directory-item\directory-item.component.jsx", "JavaScript React", 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\directory-item\directory-item.styles.scss", "SCSS", 0, 58, 0, 0, 0, 0, 0, 0, 11, 69
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\directory\directory.categories.styles.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\directory\directory.components.jsx", "JavaScript React", 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Samuel Sunmonu\Desktop\CodeJourney\CodeAlongs\crwn-clothing\src\component\form-input\form-input.component.jsx", "JavaScript React", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
